b_gap,plate_mm,wheel_od_mm,eps,f_Hz,rpm,eta_pct,P_total_W,m_total_kg,cost_usd,P_per_usd,P_per_kg,E_spin_J,magnet,magnet_kg,pareto
1.0,0.3,360,0.95,24.095555091817932,722.866652754538,0.34037630849805534,6332.311878129753,33.1513724779678,885.9200611251861,7.147723768764457,191.01205786693052,1432.4315295846397,SmCo Sm2Co17,2.29,0
1.0,0.3,440,0.6,24.095555091817932,722.866652754538,0.1062112237899813,9850.262921535172,50.7673738649467,1342.5591451146133,7.336930337392519,194.02742690097023,3272.478647165886,SmCo Sm2Co17,3.57,0
1.0,0.3,440,0.75,24.095555091817932,722.866652754538,0.15061998095229714,9850.262921535172,50.7673738649467,1342.5591451146133,7.336930337392519,194.02742690097023,3272.478647165886,SmCo Sm2Co17,3.57,0
1.0,0.3,440,0.85,24.095555091817932,722.866652754538,0.20883038916641047,9850.262921535172,50.7673738649467,1342.5591451146133,7.336930337392519,194.02742690097023,3272.478647165886,SmCo Sm2Co17,3.57,0
1.0,0.3,440,0.95,24.095555091817932,722.866652754538,0.34037630849805534,9850.262921535172,50.7673738649467,1342.5591451146133,7.336930337392519,194.02742690097023,3272.478647165886,SmCo Sm2Co17,3.57,0
1.0,0.5,200,0.6,12.542928917908467,376.28786753725404,0.1062112237899813,732.5070488058549,8.500970536197341,246.82534353998824,2.9677140860017936,86.16746119596837,31.019672306834956,SmCo Sm2Co17,0.51,0
1.0,0.5,200,0.75,12.542928917908467,376.28786753725404,0.15061998095229714,732.5070488058549,8.500970536197341,246.82534353998824,2.9677140860017936,86.16746119596837,31.019672306834956,SmCo Sm2Co17,0.51,0
1.0,0.5,200,0.85,12.542928917908467,376.28786753725404,0.20883038916641047,732.5070488058549,8.500970536197341,246.82534353998824,2.9677140860017936,86.16746119596837,31.019672306834956,SmCo Sm2Co17,0.51,0
1.0,0.5,200,0.95,12.542928917908467,376.28786753725404,0.34037630849805534,732.5070488058549,8.500970536197341,246.82534353998824,2.9677140860017936,86.16746119596837,31.019672306834956,SmCo Sm2Co17,0.51,0
1.0,0.5,280,0.6,12.542928917908467,376.28786753725404,0.1062112237899813,1831.267622014637,19.06257136838468,521.0087939336445,3.514849736390182,96.0661385405643,135.37312801400725,SmCo Sm2Co17,1.27,0
